,Id (Keywords.Csv),Imdb Id,Release Date,Start Year,Title,Budget,Revenue,Runtime,Vote Average,Vote Count,New Key
15,524,tt0112641,11/22/1995,1995,Casino,52000000,116112375.0,178.0,7.8,1343.0,"['poker', 'drug abuse', '1970s', 'overdose', 'illegal prostitution']"
16,4584,tt0114388,12/13/1995,1995,Sense and Sensibility,16500000,135000000.0,136.0,7.2,364.0,"['bowling', 'based on novel', 'servant', 'country life', 'jane austen', 'inheritance', 'military officer', 'period drama', 'rainstorm', 'horse and carriage', 'decorum']"
17,5,tt0113101,12/9/1995,1995,Four Rooms,4000000,4300000.0,98.0,6.5,539.0,"['hotel', ""{'id': 613"", ' \'name\': ""new year\'s eve""}', ' witch', 'bet', 'hotel room', 'sperm', 'los angeles', 'hoodlum', 'woman director', 'episode film']"
18,9273,tt0112281,11/10/1995,1995,Ace Ventura: When Nature Calls,30000000,212385533.0,90.0,6.1,1128.0,"['africa', 'indigenous', 'human animal relationship', 'bat']"
19,11517,tt0113845,11/21/1995,1995,Money Train,60000000,35431113.0,103.0,5.4,224.0,"['brother brother relationship', 'subway', 'new york city', 'new york subway', 'train robbery']"
20,8012,tt0113161,10/20/1995,1995,Get Shorty,30250000,115101622.0,105.0,6.4,305.0,"['gambling', 'miami', 'based on novel', 'job', 'murder', 'travel', 'mafia', 'money', 'debt', 'mobster', 'business', 'hollywood', 'gangster', 'crime', 'violence', 'drug', 'producer', 'con']"
21,1710,tt0112722,10/27/1995,1995,Copycat,0,0.0,124.0,6.5,199.0,"['police brutality', 'psychology', 'police operation', 'police protection', 'serial killer', 'psychologist', 'cowardliness']"
22,9691,tt0112401,10/6/1995,1995,Assassins,50000000,30303072.0,132.0,6.0,394.0,"['competition', 'assassination', 'cia', 'bank', 'cat', 'mexican standoff', 'seattle', 'hitman', 'mission of murder', 'hidden camera', 'rivalry', 'rescue', 'shootout', 'police chase', 'sniper rifle', 'silencer', 'double cross', 'caribbean', 'detroit michigan']"
23,12665,tt0114168,10/27/1995,1995,Powder,0,0.0,111.0,6.3,143.0,"['dead animal', 'shot to death', 'teenage boy', 'held at gunpoint', 'teacher student relationship', 'albino', 'fainting', 'jacobs ladder', 'christ allegory', 'psionic power', 'healing power', 'looking pale', 'flickering light', 'extrasensory perception']"
24,451,tt0113627,10/27/1995,1995,Leaving Las Vegas,3600000,49800000.0,112.0,7.1,365.0,"['individual', 'prostitute', 'alcohol', 'casino', 'love at first sight', 'lovesickness', 'film producer', 'screenwriter', 'hotel room', 'dying and death', 'rage and hate', 'unsociability', 'alcoholism', 'los angeles', 'alcohol abuse', 'attempted suicide']"
25,16420,tt0114057,12/15/1995,1995,Othello,0,0.0,123.0,7.0,33.0,"['shakespeare', 'jealousy', 'friends', 'moor']"
26,9263,tt0114011,10/20/1995,1995,Now and Then,12000000,27400000.0,100.0,6.6,91.0,"['1970s', 'female friendship', 'coming of age', 'gynecologist', 'photocopier', 'truth or dare', 'woman director']"
27,17015,tt0114117,9/27/1995,1995,Persuasion,0,0.0,104.0,7.4,36.0,"['captain', 'napoleonic wars', 'old flame', 'admiral']"
28,902,tt0112682,5/16/1995,1995,The City of Lost Children,18000000,1738611.0,108.0,7.6,308.0,"['clone', 'dream', 'island', 'eye', 'dystopia', 'aging', 'friendship', 'rescue', 'children', 'girl', 'childhood']"
29,37557,tt0115012,4/30/1995,1995,Shanghai Triad,0,0.0,108.0,6.5,17.0,"['servant', 'cabaret', 'shanghai', 'diva', 'uncle', 'mistress', 'umbrella']"
30,9909,tt0112792,8/11/1995,1995,Dangerous Minds,0,180000000.0,99.0,6.4,249.0,"['rap music', 'karate', 'high school', 'naval officer', 'teacher', 'amusement park']"
31,63,tt0114746,12/29/1995,1995,Twelve Monkeys,29500000,168840000.0,129.0,7.4,2470.0,"['schizophrenia', 'philadelphia', 'cassandra syndrom', 'stockholm syndrome', 'time travel', 'post-apocalyptic', 'dystopia', 'lethal virus', 'monkey', 'subterranean']"
32,78802,tt0114952,9/18/1996,1995,Wings of Courage,0,0.0,50.0,6.8,4.0,[']']
33,9598,tt0112431,7/18/1995,1995,Babe,30000000,254134910.0,89.0,6.0,756.0,"['sheep', 'pig', 'affection', 'piglet', 'heroism', 'talking animal', 'separation', 'german shepherd', 'grandson', 'talking pig']"
34,47018,tt0112637,11/8/1995,1995,Carrington,0,0.0,121.0,6.4,16.0,"['england', 'painter', 'conscientious objector', 'independent film', 'soldier']"
35,687,tt0112818,12/29/1995,1995,Dead Man Walking,11000000,39363635.0,122.0,7.3,350.0,"['prison', 'rape', 'socially deprived family', 'penalty', 'death penalty', 'despair', 'death row', 'begnadigung', 'therapist', 'self-discovery', 'prison cell', 'court case', 'death sentence', 'doomed man', 'sentence', 'lethal injection', 'forgiveness', 'charity', 'mercy petition', 'rage and hate', 'unsociability', 'right and justice', 'court', 'electric chair', 'cowardliness']"
36,139405,tt0112286,10/20/1995,1995,Across the Sea of Time,0,0.0,51.0,3.5,2.0,[']']
37,33689,tt0113442,11/17/1995,1995,It Takes Two,0,0.0,101.0,6.1,149.0,"['orphan', 'identical twin']"
38,9603,tt0112697,7/19/1995,1995,Clueless,12000000,0.0,97.0,6.9,828.0,"['puberty', 'high school', 'make a match', 'spoiled child', 'gay interest', 'conflict', 'woman director']"
39,34615,tt0112749,12/15/1995,1995,"Cry, the Beloved Country",0,676525.0,106.0,6.7,13.0,['south africa']
40,31174,tt0114279,12/29/1995,1995,Richard III,0,0.0,104.0,6.9,50.0,"['england', 'shakespeare', 'kidnapping', 'murder', 'king']"
41,11443,tt0112819,10/6/1995,1995,Dead Presidents,10000000,0.0,119.0,6.6,80.0,"['money', 'loss of virginity', 'hiding in a dumpster', 'mercy killing', 'armored truck', 'crushed by a car']"
42,35196,tt0114272,12/29/1995,1995,Restoration,19000000,0.0,117.0,6.3,30.0,"['jealousy', 'medicine', 'fountain', 'court', 'wealth', 'spaniel', 'gloves']"
43,9312,tt0113855,8/18/1995,1995,Mortal Kombat,18000000,122195920.0,101.0,5.4,452.0,"['martial arts', 'monster', 'island', 'gore', 'sorcerer', 'tournament', 'violence', 'based on video game', 'hand to hand combat']"
44,577,tt0114681,5/20/1995,1995,To Die For,20000000,21284514.0,106.0,6.7,177.0,"['adultery', 'winter', 'obsession', 'television', 'new hampshire', 'narcissistic personality disorder']"
45,11861,tt0113347,10/6/1995,1995,How To Make An American Quilt,10000000,23574130.0,116.0,6.5,38.0,"['wedding vows', 'marriage proposal', 'married couple', 'monogamy', 'advice', 'marriage', 'quilt', 'love', 'family holiday', 'extramarital affair', 'grandmother', 'woman director']"
46,807,tt0114369,9/22/1995,1995,Se7en,33000000,327311859.0,127.0,8.1,5915.0,"['self-fulfilling prophecy', 'detective', 's.w.a.t.', 'drug dealer', 'evisceration', 'lust and impulsiveness', 'rage and hate', 'pride and vanity', 'immoderateness', 'insomnia', 'investigation', 'pension', 'police', 'serial killer']"
47,10530,tt0114148,6/14/1995,1995,Pocahontas,55000000,346079773.0,81.0,6.7,1509.0,"['culture clash', 'settler', 'forbidden love', 'colony', 'musical', 'gold rush', 'princess', 'romance', 'native american', 'animation', 'virginia', 'star crossed lovers', 'reference to pizarro', 'jamestown virginia', 'pug dog', 'cross cultural relationship', 'musket', 'animate tree', 'indian chief', 'based on myths or folklore', '17th century', 'shamanism', 'songs', 'indians vs. settlers', 'animal sidekick', 'powhatan', 'land claim']"
48,8391,tt0114916,5/5/1995,1995,When Night Is Falling,0,0.0,96.0,5.9,10.0,"['professor', 'lgbt', 'woman director']"
49,629,tt0114814,7/19/1995,1995,The Usual Suspects,6000000,23341568.0,106.0,8.1,3334.0,"['law', 'relatives', 'theft', 'criminal', 'criminal mastermind', 'hungarian', 'sibling']"
50,117164,tt0109950,11/22/1994,1994,Guardian Angel,0,0.0,93.0,6.3,3.0,[']']
51,11448,tt0113819,9/13/1995,1995,Mighty Aphrodite,15000000,6700000.0,95.0,6.7,145.0,"['prostitute', 'adoption', 'adoptive father', 'childlessness', 'looking for  birth parents', 'adoptive mother', 'independent film', 'illegal prostitution', 'child']"
52,49133,tt0110299,1/1/1994,1994,Lamerica,0,0.0,116.0,7.7,11.0,['independent film']
53,26441,tt0112499,9/29/1995,1995,The Big Green,0,0.0,100.0,5.2,41.0,"['sport', 'kids and family', 'soccer', 'woman director']"
54,97406,tt0113158,5/19/1995,1995,Georgia,0,0.0,115.0,6.1,15.0,"['alcohol', 'artist', 'music', 'drug', 'band']"
55,124057,tt0113541,7/8/1997,1995,Kids of the Round Table,0,0.0,89.0,3.0,1.0,[']']
56,9089,tt0113321,11/2/1995,1995,Home for the Holidays,0,17519169.0,103.0,6.3,39.0,"['baltimore', 'thanksgiving', 'family clan', 'family conflict', 'generations conflict', 'woman director']"
57,11010,tt0110877,9/22/1994,1994,The Postman,0,0.0,108.0,7.6,181.0,"['island', 'letter', 'postman', 'fisherman', 'poet']"
58,99040,tt0112714,9/29/1995,1995,The Confessional,0,0.0,100.0,6.5,2.0,[']']
59,11359,tt0113419,7/14/1995,1995,The Indian in the Cupboard,45000000,0.0,96.0,5.9,136.0,"['cupboard', 'games', 'puppet', 'parallel world', 'toy comes to life']"
60,17182,tt0116260,1/12/1996,1996,Eye for an Eye,20000000,0.0,101.0,5.8,65.0,"['rape', 'gun', 'self-defense', 'grieving parents']"
61,2054,tt0113862,12/29/1995,1995,Mr. Holland's Opus,0,106269971.0,137.0,6.9,115.0,"['composer', 'mentor', 'deaf-mute', 'musical', 'apprentice', 'private life', 'music', 'disabled']"
62,10607,tt0116126,1/12/1996,1996,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,0,0.0,89.0,6.2,192.0,"['date', 'slang', 'hip-hop', 'cousin', 'parody', 'hood', 'gang', 'social satire', 'racism', 'gangster']"
63,19760,tt0118002,1/12/1996,1996,Two If by Sea,0,0.0,96.0,4.5,14.0,"['island', 'painting', 'thief', 'seasickness']"
64,9536,tt0115683,1/12/1996,1996,Bio-Dome,15000000,0.0,88.0,4.4,110.0,"['biotope', 'vegetarian', 'pollution']"
65,11525,tt0116839,1/12/1996,1996,Lawnmower Man 2: Beyond Cyberspace,0,2409225.0,92.0,2.8,32.0,"['hacker', 'virtual reality', 'computer', 'sword fight']"
66,40628,tt0114753,10/22/1995,1995,Two Bits,0,0.0,85.0,5.4,11.0,[']']
67,4482,tt0113149,2/8/1995,1995,French Twist,0,0.0,95.0,6.0,43.0,"['love triangle', 'southern france', 'estate agent', 'menage a trois', 'van', 'woman director']"
68,10634,tt0113118,4/26/1995,1995,Friday,3500000,28215918.0,91.0,7.0,513.0,"['rap music', 'parent child relationship', 'rapper', 'job']"
69,755,tt0116367,1/19/1996,1996,From Dusk Till Dawn,19000000,25836616.0,108.0,6.9,1644.0,"['dancing', 'brother brother relationship', 'sexual obsession', 'showdown', 'sheriff', 'eroticism', 'nudity', 'bank robber', 'vampire', 'holy water', 'siege', 'stripper', 'priest', 'explosion', 'extreme violence', 'bank robbery', 'preacher', 'hostage situation', 'crucifix', 'recreational vehicle', 'blood spurting', 'convenience store', 'female vampire', 'mexican american border', 'nightclub entertainer', 'boa constrictor']"
70,11859,tt0113010,11/3/1995,1995,Fair Game,50000000,11534477.0,91.0,4.1,54.0,"['bomb', 'miami', 'sex', 'detective', 'handcuffs', 'based on novel', 'hostage', 'fbi', 'kidnapping', 'russian', 'kgb', 'chase', 'sadism', 'parking garage', 'pizza', 'police protection', 'psychopath', 'remake', 'car crash', 'conspiracy', 'on the run', 'fugitive', 'shootout', 'gunfight', 'sadist', 'foot chase', 'police detective', 'police station', 'car chase', 'held at gunpoint', 'fbi agent', 'double cross', 'cult film', 'computer hacker', 'machine gun', 'swat team', 'grenade launcher', 'underwater scene', 'rogue agent', 'woman lawyer', 'damsel in distress']"
71,28387,tt0113537,10/6/1995,1995,Kicking and Screaming,0,718490.0,96.0,7.0,36.0,['college']
72,48750,tt0113828,3/22/1995,1995,Les Miserables,0,0.0,175.0,6.6,8.0,"['paris', 'nun', 'boxer', 'lawyer', 'jewish']"
73,20927,tt0115644,1/26/1996,1996,Bed of Roses,0,19030691.0,87.0,5.1,27.0,"['florist', 'family relationships']"
74,36929,tt0115676,1/26/1996,1996,Big Bully,15000000,2042530.0,90.0,3.9,16.0,['bully']
75,9102,tt0114367,9/8/1995,1995,Screamers,20000000,5781885.0,108.0,6.1,154.0,"['man vs machine', 'alien planet', 'struggle for survival']"
76,124626,tt0113973,2/18/1995,1995,Nico Icon,0,0.0,70.0,7.3,3.0,[']']
77,27526,tt0112744,11/15/1995,1995,The Crossing Guard,0,0.0,111.0,6.1,74.0,"['loss of daughter', 'hit-and-run driving ', 'revenge', 'suspense', 'independent film', 'tragedy']"
78,9623,tt0116731,2/2/1996,1996,The Juror,44000000,0.0,118.0,5.5,91.0,"['jurors', 'blackmail', 'court case', 'son', 'trial', 'courtroom']"
79,46785,tt0112445,1/1/1995,1995,The White Balloon,0,0.0,85.0,7.5,20.0,"['fish', 'money', 'celebration', 'goldfish']"
80,400,tt0114660,12/1/1995,1995,Things to Do in Denver When You're Dead,8000000,529766.0,116.0,6.7,87.0,"['father son relationship', 'bounty hunter', 'boat', 'way of life', 'coffin', 'denver', 'godmother', 'paranoia', 'hitman', 'friendship', 'psychopath', 'revenge', 'murder', 'independent film', 'mafia', 'diner', 'blood', 'gangster', 'violence', 'illegal prostitution', 'extramarital affair']"
81,880,tt0112379,9/12/1995,1995,Antonia's Line,900000,0.0,102.0,7.2,26.0,"['suicide', 'underdog', 'free love', 'philosophy', 'rape', 'mentally disabled', 'loss of mother', 'village life', 'world war ii', 'feminism', 'indian summer ', 'family history', 'widow', 'peasant', 'village', 'mathematics', 'freedom', 'right and justice', 'single', 'homosexuality', 'mother daughter relationship', 'domestic violence', 'university', 'woman director']"
82,146599,tt0114039,1/26/1996,1995,Once Upon a Time... When We Were Colored,0,0.0,115.0,4.5,2.0,"['racial segregation', 'family relationships', 'rural setting', 'african american']"
83,188588,tt0113612,11/22/1995,1995,Last Summer in the Hamptons,0,0.0,108.0,0.0,0.0,[']']
84,8447,tt0112365,9/10/1995,1995,Angels and Insects,0,0.0,118.0,6.3,17.0,"['class society', 'rich woman - poor man', 'scientist', 'naturalist', 'insect']"
85,10534,tt0118158,2/2/1996,1996,White Squall,38000000,10300000.0,129.0,6.3,86.0,"['sailing trip', 'diary', 'sailing', 'survival', 'coming of age', 'teenage boy', 'discipline', 'squall', 'sail', 'ship captain', 'caribbean', 'male bonding', 'seasickness', 'storm at sea', '1960s']"
86,17414,tt0116151,1/12/1996,1996,Dunston Checks In,16000000,0.0,88.0,5.1,59.0,"['boss', 'fistfight', 'bully', 'orangutan', 'hotel manager']"
87,13997,tt0115697,2/1/1996,1996,Black Sheep,0,32.0,87.0,6.0,124.0,"['nitrous oxide', 'candid camera', 'double act', 'political satire', 'crooked politician', 'woman director']"
88,2086,tt0113972,11/22/1995,1995,Nick of Time,8169363,8175346.0,90.0,6.1,190.0,"['assassination', 'train station', 'politics', 'los angeles']"
89,61548,tt0113490,9/14/1995,1995,The Journey of August King,0,0.0,91.0,6.7,3.0,[']']
90,9095,tt0117002,2/23/1996,1996,Mary Reilly,47000000,12379402.0,104.0,5.7,77.0,"['servant', 'monster', 'laboratory', 'jekyll and hyde', 'housemaid', '19th century']"
91,12158,tt0114825,10/26/1995,1995,Vampire in Brooklyn,14000000,19800000.0,100.0,4.5,113.0,"['vampire', 'half vampire']"
92,9283,tt0115639,2/9/1996,1996,Beautiful Girls,0,0.0,112.0,6.6,103.0,['hometown']
93,9208,tt0115759,2/9/1996,1996,Broken Arrow,50000000,150270147.0,108.0,5.7,459.0,"['helicopter', 'river', 'captain', 'underground', 'mexican standoff', 'countdown', 'pilot', 'fistfight', 'canyon', 'major', 'betrayal', 'gunfight', 'train', 'explosion', 'park ranger', 'desert', 'military', 'nuclear device', 'boxing', 'stealth aircraft', 'abandoned mine', 'humvee']"
94,40154,tt0113403,12/1/1995,1995,A Midwinter's Tale,0,0.0,99.0,7.5,6.0,"['play', 'hamlet', 'christmas', 'actor']"
95,406,tt0113247,5/31/1995,1995,La Haine,3000000,0.0,98.0,7.9,695.0,"['paris', 'neo-nazi', 'skinhead', 'robbery', 'police brutality', 'hip-hop', 'gun', 'socially deprived family', 'breakdance', 'arabian', 'boredom', 'revenge', 'suburb', 'violence', 'police officer', 'unemployment', 'capture', 'xenophobia']"
96,45549,tt0111173,12/6/1994,1994,Shopping,0,0.0,105.0,5.6,13.0,[']']
97,63076,tt0113283,12/27/1995,1995,Heidi Fleiss: Hollywood Madam,0,0.0,106.0,6.8,4.0,"['narration', 'hollywood', 'prostitution']"
98,11062,tt0115907,2/16/1996,1996,City Hall,0,0.0,111.0,6.0,67.0,"['corruption', 'undercover', 'war on drugs', 'mayor', 'drug dealer', 'presidential election', 'undercover agent', 'investigation', 'police', 'drug']"
99,13685,tt0115734,2/21/1996,1996,Bottle Rocket,7000000,560069.0,91.0,6.8,285.0,"['brother brother relationship', 'robbery', 'burglar', 'language barrier', 'motel', 'independent film', 'psychiatric hospital', 'maid', 'theft', 'nervous breakdown', 'escapade', 'laundry room']"
100,47475,tt0117102,2/16/1996,1996,Mr. Wrong,0,0.0,96.0,3.3,16.0,[']']
101,2045,tt0118040,2/23/1996,1996,Unforgettable,18000000,0.0,106.0,5.3,22.0,"['wife husband relationship', 'experiment', 'police', 'murder', 'suspense', 'memory', 'forensic', 'gunman', 'animal experimentation']"
102,9614,tt0116483,2/16/1996,1996,Happy Gilmore,12000000,41205099.0,92.0,6.5,767.0,"['loss of mother', 'loss of father', 'golf', 'sport', 'taxes']"
103,688,tt0112579,5/28/1995,1995,The Bridges of Madison County,24000000,182016617.0,135.0,7.3,397.0,"['farewell', 'adultery', 'love at first sight', 'photographer', 'wife husband relationship', 'iowa', ""{'id': 2038"", ' \'name\': ""love of one\'s life""}', ' mother role', 'bridge', 'housewife', 'love letter', 'peasant', 'marriage crisis', 'photography', 'unsociability', 'secret love', 'nature documentary']"
104,11907,tt0110251,11/7/1994,1994,Nobody Loves Me,0,0.0,104.0,5.1,5.0,"['prophecy', 'voodoo', 'single', 'falling in love', 'woman director', 'rich man']"
105,10874,tt0117110,2/16/1996,1996,Muppet Treasure Island,0,34327391.0,100.0,6.5,93.0,"['island', 'pirate gang', 'puppet', 'treasure hunt']"
106,89333,tt0112646,12/8/1995,1995,Catwalk,0,0.0,95.0,7.0,2.0,[']']
107,96357,tt0113276,5/20/1995,1995,Headless Body in Topless Bar,0,0.0,110.0,0.0,0.0,['ex-con']
108,197,tt0112573,5/24/1995,1995,Braveheart,72000000,210000000.0,177.0,7.7,3404.0,"['individual', 'scotland', 'in love with enemy', 'legend', 'independence', 'idealism', 'revolt', 'tyranny']"
109,103,tt0075314,2/7/1976,1976,Taxi Driver,1300000,28262574.0,114.0,8.1,2632.0,"['vietnam veteran', 'taxi', 'obsession', 'drug dealer', 'night shift', 'vigilante', 'alienation', 'misanthrope', 'shot to death', 'illegal prostitution', 'loner']"
110,33542,tt0113326,1/30/1995,1995,Rumble in the Bronx,7500000,32392047.0,91.0,6.5,245.0,"['new york', 'martial arts', 'supermarket', 'gang war', 'disabled child', 'gang', 'wedding', 'diamond', 'bronx', 'duringcreditsstinger']"
111,43566,tt0115645,2/23/1996,1996,Before and After,35000000,0.0,108.0,5.8,37.0,[']']
112,71754,tt0113774,9/13/1995,1995,Margaret's Museum,0,0.0,114.0,7.5,2.0,"['mining', 'dance lesson', 'coal mining', 'bagpipes']"
113,43612,tt0112556,1/31/1995,1995,Happiness Is in the Field,13365000,0.0,106.0,7.0,23.0,"['best friend', 'twins', 'country', 'identity swap', 'woman director']"
114,51352,tt0112373,6/8/1995,1995,Anne Frank Remembered,0,1.0,117.0,7.3,4.0,"['fascism', 'auschwitz', 'typhus', 'victim', 'interview', 'prejudice', 'burglary', 'rabbit']"
115,16934,tt0115033,1/20/1995,1995,The Young Poisoner's Handbook,0,0.0,99.0,6.9,19.0,"['london england', 'poison', 'based on true story', 'murder', 'serial killer', 'mental institution', 'teenager', 'psychiatrist', 'stepmother', 'social misfit']"
116,10324,tt0116606,3/8/1996,1996,If Lucy Fell,0,0.0,92.0,5.4,11.0,"['roommate', 'single', 'love', 'independent film', 'best friend', 'brooklyn bridge']"
117,78406,tt0114536,9/29/1995,1995,Steal Big Steal Little,25000000,6278139.0,113.0,5.1,7.0,"['brother brother relationship', 'twin brother', 'lawyer', 'estate', 'santa barbara california']"
118,55731,tt0117427,3/22/1996,1996,Race the Sun,0,0.0,100.0,5.2,21.0,"['hawaii', 'australia', 'teacher', 'car', 'solar power']"
119,32119,tt0106473,12/6/1992,1992,The Boys of St. Vincent,0,0.0,90.0,7.0,7.0,[']']
120,11066,tt0103859,6/30/1992,1992,Boomerang,40000000,70100000.0,117.0,5.4,139.0,"['role of women', 'ladykiller', 'success', ""{'id': 6779"", ' \'name\': ""ladies\' man""}', ' chefin', 'casanova', 'womanizer']"
121,11104,tt0109424,7/14/1994,1994,Chungking Express,0,0.0,102.0,7.9,249.0,"['ex-girlfriend', 'drug smuggle', 'girlfriend', 'snack bar', 'romance', 'hong kong', 'pineapple', 'expiration date', 'flight attendant']"
122,37975,tt0114808,9/21/1995,1995,The Star Maker,0,0.0,113.0,6.8,29.0,[']']
123,2074,tt0116324,3/22/1996,1996,Flirting with Disaster,7000000,14702438.0,92.0,6.3,66.0,"['lsd', 'looking for  birth parents', 'half-brother', 'independent film']"
124,27793,tt0110647,10/26/1994,1994,The Neverending Story III: Escape from Fantasia,17000000,0.0,95.0,4.4,105.0,"['flying', 'magic']"
125,44284,tt0111055,9/30/1994,1994,The Silences of the Palace,0,0.0,116.0,4.3,3.0,['woman director']
126,290157,tt0110217,1/1/1995,1995,Jupiter's Wife,0,0.0,87.0,0.0,0.0,[']']
127,110972,tt0114131,2/9/1996,1995,Pie in the Sky,0,0.0,95.0,7.0,2.0,[']']
128,32622,tt0112364,1/1/1995,1995,Angela,0,0.0,99.0,5.6,9.0,"['independent film', 'woman director']"
129,73067,tt0113107,11/22/1995,1995,Frankie Starlight,0,0.0,101.0,5.4,4.0,"['boy', 'writer', 'ireland', 'flashback', 'troop ship']"
130,11863,tt0113451,10/13/1995,1995,Jade,50000000,9851610.0,95.0,5.1,45.0,"['callgirl', 'san francisco', 'investigation', 'murder']"
131,55475,tt0114015,8/16/1995,1995,Nueba Yol,0,0.0,102.0,5.5,1.0,"['new york', 'emigration', 'dominican republic']"
132,124636,tt0114500,8/1/1995,1995,Sonic Outlaws,0,0.0,87.0,0.0,0.0,[']']
133,9101,tt0116130,3/1/1996,1996,Down Periscope,0,0.0,92.0,5.6,110.0,"['submarine', 'u.s. navy', 'misfit']"
134,123360,tt0113125,9/8/1995,1995,From the Journals of Jean Seberg,0,0.0,97.0,6.5,2.0,['biography']
135,5757,tt0113756,9/15/1995,1995,Man of the Year,0,209935.0,86.0,3.8,2.0,"['homosexuality', 'independent film', 'mockumentary']"
136,39428,tt0113952,8/23/1995,1995,The Neon Bible,0,0.0,91.0,7.2,5.0,"['southern usa', 'based on novel', 'singer', 'south']"
137,124639,tt0114618,8/1/1995,1995,Target,0,0.0,122.0,0.0,0.0,[']']
138,9302,tt0118055,3/1/1996,1996,Up Close & Personal,60000000,0.0,119.0,5.9,51.0,"['skab under tv', 'foran', 'nederste hylde']"
139,11000,tt0115685,3/8/1996,1996,The Birdcage,31000000,185260553.0,117.0,6.7,303.0,"['gay', 'drag queen', 'homophobia', 'florida', 'coming out', 'senator', 'politician', 'lgbt', 'crossdressing', '1990s']"
140,249882,tt0113200,10/12/1995,1995,Virgin Mary,0,0.0,125.0,7.0,2.0,"['mountain', 'miracle', 'apparition', 'communism', 'virgin mary']"
141,16388,tt0112585,8/9/1995,1995,The Brothers McMullen,0,0.0,98.0,6.3,23.0,"['love', 'independent film', 'best friend', 'true love', 'irish catholic']"
142,9737,tt0112442,4/7/1995,1995,Bad Boys,19000000,141407024.0,118.0,6.5,1729.0,"['miami', 'detective', 'handcuffs', 'airport', 'mexican standoff', 'strip club', 'witness protection', 'car crash', 'internal affairs', 'gunfight', 'explosion', 'brutality', 'foot chase', 'car chase', 'drug lord', 'hangar', 'loose cannon', 'bust', 'reference to skittles', 'black cop', 'badge', 'action hero', 'corrupt cop']"
143,30765,tt0112342,8/25/1995,1995,The Amazing Panda Adventure,0,0.0,81.0,5.0,31.0,"['china', 'panda', 'poacher']"
144,10474,tt0112461,4/21/1995,1995,The Basketball Diaries,0,0.0,102.0,7.2,472.0,"['sport', 'basketball', 'addiction', 'friends', 'drug']"
