,Adult,Genres,Id,Imdb Id,Keywords,Production Companies,Production Countries,Release Date,Year,Tagline,Title,Budget,Popularity,Runtime,Vote Average,Vote Count,New Key,Worldwide,Domestic,Foreign
16,False,"['Drama', 'Romance']",4584,tt0114388,"['bowling', 'based on novel', 'servant', 'country life', 'jane austen', 'inheritance', 'military officer', 'period drama', 'rainstorm', 'horse and carriage']","['Columbia Pictures Corporation', 'Mirage Enterprises']","['United Kingdom', 'United States of America']",12/13/1995,1995,Lose your heart and come to your senses.,Sense and Sensibility,16500000,10.673167,136.0,7.2,364.0,"['bowling', 'based on novel', 'servant', 'country life', 'jane austen', 'inheritance', 'military officer', 'period drama', 'rainstorm', 'horse and carriage']",134582776,43182776,91400000
17,False,"['Crime', 'Comedy']",5,tt0113101,"['hotel', 'witch', 'bet', 'hotel room', 'sperm', 'los angeles', 'hoodlum', 'woman director']","['Miramax Films', 'A Band Apart']",['United States of America'],12/9/1995,1995,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,4000000,9.026586,98.0,6.5,539.0,"['hotel', 'witch', 'bet', 'hotel room', 'sperm', 'los angeles', 'hoodlum', 'woman director']",4257354,4257354,
18,False,"['Crime', 'Comedy', 'Adventure']",9273,tt0112281,"['africa', 'indigenous', 'human animal relationship', 'bat']","['O Entertainment', 'Warner Bros.', 'Morgan Creek Productions']",['United States of America'],11/10/1995,1995,New animals. New adventures. Same hair.,Ace Ventura: When Nature Calls,30000000,8.205447999999999,90.0,6.1,1128.0,"['africa', 'indigenous', 'human animal relationship']",212385533,108385533,104000000
19,False,"['Action', 'Comedy', 'Crime']",11517,tt0113845,"['new york city', 'sibling relationship', 'subway', 'new york subway', 'train robbery']",['Columbia Pictures'],['United States of America'],11/21/1995,1995,"Get on, or GET OUT THE WAY!",Money Train,60000000,7.3379059999999985,103.0,5.4,224.0,"['brother brother relationship', 'subway', 'new york city', 'new york subway']",35431113,35431113,
20,False,"['Comedy', 'Thriller', 'Crime']",8012,tt0113161,"['gambling', 'miami', 'based on novel', 'job', 'murder', 'travel', 'mafia', 'money', 'debt', 'mobster', 'business', 'hollywood', 'gangster', 'crime', 'violence', 'drug', 'producer']",['Jersey Films'],['United States of America'],10/20/1995,1995,"The mob is tough, but it’s nothing like show business.",Get Shorty,30250000,12.669608,105.0,6.4,305.0,"['gambling', 'miami', 'based on novel', 'job', 'murder', 'travel', 'mafia', 'money', 'debt', 'mobster', 'business', 'hollywood', 'gangster', 'crime', 'violence', 'drug', 'producer']",115101622,72101622,43000000
22,False,"['Action', 'Adventure', 'Crime', 'Thriller']",9691,tt0112401,"['competition', 'assassination', 'cia', 'bank', 'cat', 'mexican standoff', 'seattle', 'hitman', 'mission of murder', 'hidden camera', 'rivalry', 'rescue', 'shootout', 'police chase', 'sniper rifle', 'silencer', 'double cross', 'caribbean']","['Silver Pictures', 'Warner Bros.', 'Dino De Laurentiis Company']","['France', 'United States of America']",10/6/1995,1995,"In the shadows of life, In the business of death, One man found a reason to live...",Assassins,50000000,11.065939,132.0,6.0,394.0,"['competition', 'assassination', 'cia', 'bank', 'cat', 'mexican standoff', 'seattle', 'hitman', 'mission of murder', 'hidden camera', 'rivalry', 'rescue', 'shootout', 'police chase', 'sniper rifle', 'silencer', 'double cross', 'caribbean']",30303072,30303072,
24,False,"['Drama', 'Romance']",451,tt0113627,"['individual', 'prostitute', 'alcohol', 'casino', 'love at first sight', 'lovesickness', 'film producer', 'screenwriter', 'hotel room', 'dying and death', 'rage and hate', 'unsociability', 'alcoholism', 'los angeles', 'alcohol abuse']","['United Artists', 'Intial Productions']",['United States of America'],10/27/1995,1995,I Love You... The Way You Are.,Leaving Las Vegas,3600000,10.332025,112.0,7.1,365.0,"['individual', 'prostitute', 'alcohol', 'casino', 'love at first sight', 'lovesickness', 'film producer', 'screenwriter', 'hotel room', 'dying and death', 'rage and hate', 'unsociability', 'alcoholism', 'los angeles', 'alcohol abuse']",32029928,32029928,
26,False,"['Comedy', 'Drama', 'Family']",9263,tt0114011,"['1970s', 'female friendship', 'coming of age', 'gynecologist', 'photocopier', 'truth or dare']",['New Line Cinema'],['United States of America'],10/20/1995,1995,In every woman there is the girl she left behind.,Now and Then,12000000,8.681325,100.0,6.6,91.0,"['1970s', 'female friendship', 'coming of age', 'gynecologist', 'photocopier', 'truth or dare']",37591674,27112329,10479345
27,False,"['Fantasy', 'Science Fiction', 'Adventure']",902,tt0112682,"['clone', 'dream', 'island', 'eye', 'dystopia', 'aging', 'friendship', 'rescue', 'children', 'girl']","['Procirep', 'Constellation Productions', 'France 3 Cinéma', 'Claudie Ossard Productions', 'Eurimages', 'MEDIA Programme of the European Union', 'Cofimage 5', 'Elías Querejeta Producciones Cinematográficas S.L.', 'Victoires Productions', 'Constellation', 'Lumière Pictures', 'Studio Image', 'Cofimage 4', 'Ossane', 'Phoenix Images']","['France', 'Germany', 'Spain']",5/16/1995,1995,Where happily ever after is just a dream.,The City of Lost Children,18000000,9.822423,108.0,7.6,308.0,"['clone', 'dream', 'island', 'eye', 'dystopia', 'aging', 'friendship', 'rescue', 'children', 'girl']",1781465,1738611,42854
31,False,"['Fantasy', 'Drama', 'Comedy', 'Family']",9598,tt0112431,"['sheep', 'pig', 'affection', 'piglet', 'heroism', 'talking animal', 'separation', 'german shepherd', 'grandson']","['Universal Pictures', 'Kennedy Miller Productions']","['Australia', 'United States of America']",7/18/1995,1995,A little pig goes a long way.,Babe,30000000,14.404764000000002,89.0,6.0,756.0,"['sheep', 'pig', 'affection', 'piglet', 'heroism', 'talking animal', 'separation', 'german shepherd', 'grandson']",254134910,63658910,190476000
36,False,"['Comedy', 'Drama', 'Romance']",9603,tt0112697,"['puberty', 'high school', 'make a match', 'spoiled child', 'gay interest', 'conflict']",['Paramount Pictures'],['United States of America'],7/19/1995,1995,Sex. Clothes. Popularity. Is there a problem here?,Clueless,12000000,9.882383,97.0,6.9,828.0,"['puberty', 'high school', 'make a match', 'spoiled child', 'gay interest', 'conflict']",56631572,56631572,
39,False,"['Action', 'Crime', 'Drama', 'History']",11443,tt0112819,"['post traumatic stress  disorder', 'drug abuse', 'war veteran', 'vietnam', 'heist', 'money', 'loss of virginity', 'redemption', 'revolutinoary', 'mercy killing', 'armored truck', 'bronx, new york city', 'medic', '1960s', 'graphic violence']","['Caravan Pictures', 'Underworld Entertainment', 'Hollywood Pictures']",['United States of America'],10/6/1995,1995,"In this daring heist, the only color that counts is green",Dead Presidents,10000000,9.87957,119.0,6.6,80.0,"['money', 'loss of virginity', 'hiding in a dumpster', 'mercy killing', 'armored truck']",24147179,24147179,
41,False,"['Action', 'Fantasy']",9312,tt0113855,"['martial arts', 'monster', 'island', 'gore', 'sorcerer', 'tournament', 'violence', 'based on video game']","['New Line Cinema', 'Threshold Entertainment']",['United States of America'],8/18/1995,1995,Nothing In This World Has Prepared You For This.,Mortal Kombat,18000000,10.870138,101.0,5.4,452.0,"['martial arts', 'monster', 'island', 'gore', 'sorcerer', 'tournament', 'violence', 'based on video game']",122195920,70454098,51741822
42,False,"['Fantasy', 'Drama', 'Comedy', 'Thriller']",577,tt0114681,"['adultery', 'based on novel or book', 'winter', 'obsession', 'television', 'new hampshire', 'mockumentary', 'narcissistic personality disorder']","['The Rank Organisation', 'Columbia Pictures Corporation']",['United States of America'],5/20/1995,1995,All she wanted was a little attention.,To Die For,20000000,10.448481,106.0,6.7,177.0,"['adultery', 'winter', 'obsession', 'television', 'new hampshire']",21284514,21284514,
43,False,"['Crime', 'Mystery', 'Thriller']",807,tt0114369,"['detective', 'drug dealer', 'evisceration', 'lust and impulsiveness', 'rage and hate', 'pride and vanity', 'immoderateness', 'insomnia', 'investigation', 'pension', 'police']","['New Line Cinema', 'Juno Pix', 'Cecchi Gori Pictures']",['United States of America'],9/22/1995,1995,Seven deadly sins. Seven ways to die.,Se7en,33000000,18.45743,127.0,8.1,5915.0,"['detective', 'drug dealer', 'evisceration', 'lust and impulsiveness', 'rage and hate', 'pride and vanity', 'immoderateness', 'insomnia', 'investigation', 'pension', 'police']",327333559,100125643,227207916
44,False,"['Adventure', 'Animation', 'Drama', 'Family']",10530,tt0114148,"['culture clash', 'settler', 'forbidden love', 'colony', 'musical', 'gold rush', 'princess', 'romance', 'native american', 'animation', 'virginia', 'star crossed lovers', 'reference to pizarro', 'jamestown virginia', 'pug dog', 'cross cultural relationship', 'musket', 'animate tree', 'indian chief', 'based on myths or folklore', '17th century', 'shamanism', 'songs', 'animal sidekick', 'powhatan']","['Walt Disney Pictures', 'Walt Disney Feature Animation']",['United States of America'],6/14/1995,1995,An American legend comes to life.,Pocahontas,55000000,13.280069,81.0,6.7,1509.0,"['culture clash', 'settler', 'forbidden love', 'colony', 'musical', 'gold rush', 'princess', 'romance', 'native american', 'animation', 'virginia', 'star crossed lovers', 'reference to pizarro', 'jamestown virginia', 'pug dog', 'cross cultural relationship', 'musket', 'animate tree', 'indian chief', 'based on myths or folklore', '17th century', 'shamanism', 'songs', 'animal sidekick', 'powhatan']",346079773,141579773,204500000
45,False,"['Drama', 'Crime', 'Thriller']",629,tt0114814,"['law', 'relatives', 'theft', 'criminal', 'criminal mastermind', 'hungarian']","['Blue Parrot Productions', 'Bad Hat Harry Productions']",['United States of America'],7/19/1995,1995,Five Criminals. One Line Up. No Coincidence.,The Usual Suspects,6000000,16.302466,106.0,8.1,3334.0,"['law', 'relatives', 'theft', 'criminal', 'criminal mastermind', 'hungarian']",23341568,23341568,
51,False,"['Drama', 'Thriller']",17182,tt0116260,"['rape', 'gun', 'self-defense', 'grieving parents']",['Paramount Pictures'],['United States of America'],1/12/1996,1996,What do you do when justice fails?,Eye for an Eye,20000000,4.733526,101.0,5.8,65.0,"['rape', 'gun']",26877589,26877589,
55,False,['Comedy'],9536,tt0115683,"['biotope', 'vegetarian', 'pollution', 'biosphere']","['3 Arts Entertainment', 'Weasel Productions']",['United States of America'],1/12/1996,1996,Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?,Bio-Dome,15000000,6.387469,88.0,4.4,110.0,"['biotope', 'vegetarian']",13427615,13427615,
58,False,['Comedy'],10634,tt0113118,"['rap music', 'parent child relationship', 'rapper', 'job']",['New Line Cinema'],['United States of America'],4/26/1995,1995,A lot can go down between thursday and saturday...,Friday,3500000,14.56965,91.0,7.0,513.0,"['rap music', 'parent child relationship', 'rapper']",28215918,27467564,748354
59,False,"['Horror', 'Action', 'Thriller', 'Crime']",755,tt0116367,"['dancing', 'brother brother relationship', 'sexual obsession', 'showdown', 'sheriff', 'eroticism', 'nudity', 'bank robber', 'vampire', 'holy water', 'siege', 'stripper', 'priest', 'explosion', 'extreme violence', 'bank robbery', 'preacher', 'hostage situation', 'crucifix', 'recreational vehicle', 'blood spurting', 'convenience store', 'female vampire', 'mexican american border', 'nightclub entertainer']","['A Band Apart', 'Dimension Films', 'Los Hooligans Productions', 'Miramax']",['United States of America'],1/19/1996,1996,One night is all that stands between them and freedom. But it's going to be a hell of a night.,From Dusk Till Dawn,19000000,15.339153,108.0,6.9,1644.0,"['dancing', 'brother brother relationship', 'sexual obsession', 'showdown', 'sheriff', 'eroticism', 'nudity', 'bank robber', 'vampire', 'holy water', 'siege', 'stripper', 'priest', 'explosion', 'extreme violence', 'bank robbery', 'preacher', 'hostage situation', 'crucifix', 'recreational vehicle', 'blood spurting', 'convenience store', 'female vampire', 'mexican american border', 'nightclub entertainer']",25836616,25836616,
60,False,"['Action', 'Thriller', 'Romance']",11859,tt0113010,"['bomb', 'miami', 'sex', 'detective', 'handcuffs', 'based on novel', 'hostage', 'fbi', 'kidnapping', 'russian', 'kgb', 'chase', 'sadism', 'parking garage', 'pizza', 'police protection', 'psychopath', 'remake', 'car crash', 'conspiracy', 'on the run', 'fugitive', 'shootout', 'gunfight', 'sadist', 'foot chase', 'police detective', 'police station', 'car chase', 'held at gunpoint', 'fbi agent', 'double cross', 'cult film', 'computer hacker', 'machine gun', 'swat team', 'grenade launcher', 'underwater scene', 'rogue agent', 'woman lawyer']","['Silver Pictures', 'Warner Bros.']",['United States of America'],11/3/1995,1995,He's a cop on the edge. She's a woman with a dangerous secret. And now they're both...,Fair Game,50000000,5.912223,91.0,4.1,54.0,"['bomb', 'miami', 'sex', 'detective', 'handcuffs', 'based on novel', 'hostage', 'fbi', 'kidnapping', 'russian', 'kgb', 'chase', 'sadism', 'parking garage', 'pizza', 'police protection', 'psychopath', 'remake', 'car crash', 'conspiracy', 'on the run', 'fugitive', 'shootout', 'gunfight', 'sadist', 'foot chase', 'police detective', 'police station', 'car chase', 'held at gunpoint', 'fbi agent', 'double cross', 'cult film', 'computer hacker', 'machine gun', 'swat team', 'grenade launcher', 'underwater scene', 'rogue agent', 'woman lawyer']",11534477,11534477,
66,False,"['Drama', 'Thriller']",9623,tt0116731,"['jurors', 'blackmail', 'court case', 'son', 'trial', 'courtroom']",['Columbia Pictures Corporation'],['United States of America'],2/2/1996,1996,There is no defense.,The Juror,44000000,6.010579,118.0,5.5,91.0,"['jurors', 'blackmail', 'court case', 'son', 'trial']",22754725,22754725,
67,False,"['Drama', 'Crime']",400,tt0114660,"['father son relationship', 'bounty hunter', 'boat', 'way of life', 'coffin', 'denver', 'godmother', 'paranoia', 'hitman', 'friendship', 'psychopath', 'revenge', 'murder', 'independent film', 'mafia', 'diner', 'blood', 'gangster', 'violence', 'illegal prostitution']",['Miramax Films'],['United States of America'],12/1/1995,1995,Protect. Love. Honor. Avenge.,Things to Do in Denver When You're Dead,8000000,4.486179,116.0,6.7,87.0,"['father son relationship', 'bounty hunter', 'boat', 'way of life', 'coffin', 'denver', 'godmother', 'paranoia', 'hitman', 'friendship', 'psychopath', 'revenge', 'murder', 'independent film', 'mafia', 'diner', 'blood', 'gangster', 'violence', 'illegal prostitution']",529766,529766,
70,False,"['Adventure', 'Comedy', 'Family']",17414,tt0116151,"['boss', 'fistfight', 'bully', 'orangutan', 'single father', 'hotel manager', 'jewel theft', 'employer employee relationship', 'bali', 'father son relationship', 'brother brother relationship', 'mischief']",['Twentieth Century Fox Film Corporation'],['United States of America'],1/12/1996,1996,He's about to turn a Five Star Hotel into a three ring circus.,Dunston Checks In,16000000,4.814825,88.0,5.1,59.0,"['boss', 'fistfight', 'bully', 'orangutan']",9871065,9871065,
74,False,"['Drama', 'Horror', 'Thriller', 'Romance']",9095,tt0117002,"['servant', 'monster', 'laboratory', 'jekyll and hyde', 'housemaid', '19th century']","['TriStar Pictures', 'NFH Productions']",['United States of America'],2/23/1996,1996,The untold story of Jekyll and Hyde,Mary Reilly,47000000,12.866139,104.0,5.7,77.0,"['servant', 'monster', 'laboratory', 'jekyll and hyde', 'housemaid']",12379402,5707094,6672308
75,False,"['Comedy', 'Horror', 'Romance']",12158,tt0114825,"['vampire', 'half vampire', 'brooklyn, new york city']",['Paramount Pictures'],['United States of America'],10/26/1995,1995,A comic tale of horror and seduction.,Vampire in Brooklyn,14000000,9.071127,100.0,4.5,113.0,['vampire'],19751736,19751736,
77,False,"['Action', 'Adventure', 'Drama', 'Thriller']",9208,tt0115759,"['helicopter', 'river', 'captain', 'underground', 'mexican standoff', 'countdown', 'pilot', 'fistfight', 'canyon', 'major', 'betrayal', 'gunfight', 'train', 'explosion', 'park ranger', 'desert', 'military', 'nuclear device', 'boxing', 'stealth aircraft', 'abandoned mine']","['Twentieth Century Fox Film Corporation', 'WCG Entertainment Productions', 'Mark Gordon Productions']",['United States of America'],2/9/1996,1996,Prepare to Go Ballistic.,Broken Arrow,50000000,14.957626,108.0,5.7,459.0,"['helicopter', 'river', 'captain', 'underground', 'mexican standoff', 'countdown', 'pilot', 'fistfight', 'canyon', 'major', 'betrayal', 'gunfight', 'train', 'explosion', 'park ranger', 'desert', 'military', 'nuclear device', 'boxing', 'stealth aircraft', 'abandoned mine']",150270147,70770147,79500000
79,False,"['Comedy', 'Crime', 'Drama']",13685,tt0115734,"['brother brother relationship', 'robbery', 'burglar', 'language barrier', 'motel', 'independent film', 'psychiatric hospital', 'maid', 'theft', 'nervous breakdown', 'escapade']","['Gracie Films', 'Columbia Pictures Corporation']",['United States of America'],2/21/1996,1996,"They're not really criminals, but everyone's got to have a dream.",Bottle Rocket,7000000,6.904831,91.0,6.8,285.0,"['brother brother relationship', 'robbery', 'burglar', 'language barrier', 'motel', 'independent film', 'psychiatric hospital', 'maid', 'theft', 'nervous breakdown', 'escapade']",560069,560069,
81,False,"['Drama', 'Mystery', 'Science Fiction', 'Thriller']",2045,tt0118040,"['wife husband relationship', 'experiment', 'police', 'murder', 'suspense', 'memory', 'forensic', 'gunman']","['Dino De Laurentiis Company', 'Spelling Films']",['United States of America'],2/23/1996,1996,He loved her. He lost her. He won't let her memory die... until it tells him who killed her.,Unforgettable,18000000,2.464425,106.0,5.3,22.0,"['wife husband relationship', 'experiment', 'police', 'murder', 'suspense', 'memory', 'forensic', 'gunman']",2821671,2821671,
82,False,['Comedy'],9614,tt0116483,"['loss of mother', 'loss of father', 'golf', 'sport']","['Universal Pictures', 'Robert Simonds Productions']",['United States of America'],2/16/1996,1996,He doesn't play golf... he destroys it.,Happy Gilmore,12000000,9.592265,92.0,6.5,767.0,"['loss of mother', 'loss of father', 'golf', 'sport']",41205099,38824099,2381000
83,False,"['Drama', 'Romance']",688,tt0112579,"['farewell', 'adultery', 'love at first sight', 'photographer', 'wife husband relationship', 'iowa', 'mother role', 'bridge', 'housewife', 'love letter', 'peasant', 'marriage crisis', 'photography', 'unsociability', 'secret love']","['Amblin Entertainment', 'Malpaso Productions', 'Warner Bros.']",['United States of America'],5/28/1995,1995,The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...,The Bridges of Madison County,24000000,5.951077,135.0,7.3,397.0,"['farewell', 'adultery', 'love at first sight', 'photographer', 'wife husband relationship', 'iowa', 'mother role', 'bridge', 'housewife', 'love letter', 'peasant', 'marriage crisis', 'photography', 'unsociability', 'secret love']",182016617,71516617,110500000
85,False,"['Action', 'Drama', 'History', 'War']",197,tt0112573,"['individual', 'scotland', 'in love with enemy', 'legend', 'independence', 'idealism', 'revolt']","['Icon Entertainment International', 'The Ladd Company', 'B.H. Finance C.V.']",['United States of America'],5/24/1995,1995,Every man dies. Not every man truly lives.,Braveheart,72000000,20.755149,177.0,7.7,3404.0,"['individual', 'scotland', 'in love with enemy', 'legend', 'independence', 'idealism', 'revolt']",213216216,75609945,137606271
88,False,"['Comedy', 'Drama']",78406,tt0114536,"['sibling relationship', 'twin brother', 'lawyer', 'estate', 'santa barbara california']",['Savoy Pictures'],['United States of America'],9/29/1995,1995,Two brothers. One fortune. Zero chance they'll share it.,Steal Big Steal Little,25000000,1.522412,113.0,5.1,7.0,"['brother brother relationship', 'twin brother', 'lawyer', 'estate']",3150170,3150170,
90,False,"['Comedy', 'Romance']",11066,tt0103859,"['role of women', 'ladykiller', 'success', 'chefin', 'casanova']",['Paramount Pictures'],['United States of America'],6/30/1992,1992,A Player Who's About to be Played.,Boomerang,40000000,6.506983,117.0,5.4,139.0,"['role of women', 'ladykiller', 'success', 'chefin', 'casanova']",131052444,70052444,61000000
91,False,"['Comedy', 'Romance']",2074,tt0116324,"['lsd', 'looking for  birth parents', 'half-brother']",['Miramax Films'],['United States of America'],3/22/1996,1996,"A comedy about sex, love, family and other accidents waiting to happen.",Flirting with Disaster,7000000,5.579088,92.0,6.3,66.0,"['lsd', 'looking for  birth parents']",14702438,14702438,
94,False,"['Action', 'Thriller', 'Mystery', 'Romance']",11863,tt0113451,"['call girl', 'san francisco, california', 'investigation', 'murder', 'prostitution']",['Paramount Pictures'],['United States of America'],10/13/1995,1995,Some fantasies go too far.,Jade,50000000,11.418917,95.0,5.1,45.0,"['callgirl', 'san francisco', 'investigation']",9851610,9851610,
96,False,"['Drama', 'Romance']",9302,tt0118055,"['miami, florida', 'television', 'career', 'reporter']","['Cinergi Pictures Entertainment', 'Touchstone Pictures']",['United States of America'],3/1/1996,1996,"Every Day we Have, is One More Than We Deserve.",Up Close & Personal,60000000,3.402749,119.0,5.9,51.0,"['skab under tv', 'foran']",100688705,51088705,49600000
97,False,['Comedy'],11000,tt0115685,"['gay', 'drag queen', 'homophobia', 'florida', 'coming out', 'senator', 'politician', 'lgbt', 'crossdressing']",['United Artists'],['United States of America'],3/8/1996,1996,Come as you are.,The Birdcage,31000000,6.4996800000000015,117.0,6.7,303.0,"['gay', 'drag queen', 'homophobia', 'florida', 'coming out', 'senator', 'politician', 'lgbt', 'crossdressing']",185260553,124060553,61200000
99,False,"['Action', 'Comedy', 'Crime', 'Thriller']",9737,tt0112442,"['miami', 'detective', 'handcuffs', 'airport', 'mexican standoff', 'strip club', 'witness protection', 'car crash', 'internal affairs', 'gunfight', 'explosion', 'brutality', 'foot chase', 'car chase', 'drug lord', 'hangar', 'loose cannon', 'bust', 'reference to skittles', 'black cop', 'badge', 'action hero']",['Columbia Pictures'],['United States of America'],4/7/1995,1995,Whatcha gonna do?,Bad Boys,19000000,9.262184,118.0,6.5,1729.0,"['miami', 'detective', 'handcuffs', 'airport', 'mexican standoff', 'strip club', 'witness protection', 'car crash', 'internal affairs', 'gunfight', 'explosion', 'brutality', 'foot chase', 'car chase', 'drug lord', 'hangar', 'loose cannon', 'bust', 'reference to skittles', 'black cop', 'badge', 'action hero']",141407024,65807024,75600000
103,False,['Drama'],568,tt0112384,"['moon', 'florida', 'nasa', 'spaceman', 'race against time', 'houston', 'based on true story', 'space', 'rescue', 'survival', 'disaster', 'explosion', 'astronaut', 'imax', 'saturn v rocket', 'courage', 'hypothermia', 'apollo program', 'cape kennedy', 'lunar mission']","['Imagine Entertainment', 'Universal Pictures']",['United States of America'],6/30/1995,1995,"Houston, we have a problem.",Apollo 13,52000000,18.761467,140.0,7.3,1637.0,"['moon', 'florida', 'nasa', 'spaceman', 'race against time', 'houston', 'based on true story', 'space', 'rescue', 'survival', 'disaster', 'explosion', 'astronaut', 'imax', 'saturn v rocket', 'courage', 'hypothermia', 'apollo program', 'cape kennedy', 'lunar mission']",353148882,172071312,181077570
