,Id,Title,Production Companies
108,197,Braveheart,Icon Entertainment International
108,197,Braveheart,The Ladd Company
109,103,Taxi Driver,Columbia Pictures Corporation
110,33542,Rumble in the Bronx,New Line Cinema
111,43566,Before and After,Caravan Pictures
112,71754,Margaret's Museum,Téléfilm Canada
112,71754,Margaret's Museum,Skyline Films
112,71754,Margaret's Museum,Malofilm
112,71754,Margaret's Museum,British Screen Productions
112,71754,Margaret's Museum,imX Communications
112,71754,Margaret's Museum,Glace Bay Pictures
112,71754,Margaret's Museum,Ciné Télé Action
112,71754,Margaret's Museum,Nova Scotia Film Development Corporation
113,43612,Happiness Is in the Field,France 2 Cinéma
113,43612,Happiness Is in the Field,France 3 Cinéma
113,43612,Happiness Is in the Field,StudioCanal
113,43612,Happiness Is in the Field,Les Productions du Champ Poirier
114,51352,Anne Frank Remembered,
115,16934,The Young Poisoner's Handbook,
116,10324,If Lucy Fell,TriStar Pictures
117,78406,Steal Big Steal Little,
118,55731,Race the Sun,
119,32119,The Boys of St. Vincent,
120,11066,Boomerang,
121,11104,Chungking Express,Jet Tone Production
122,37975,The Star Maker,
123,2074,Flirting with Disaster,
124,27793,The Neverending Story III: Escape from Fantasia,Studio Babelsberg
124,27793,The Neverending Story III: Escape from Fantasia,Dieter Geissler Filmproduktion
124,27793,The Neverending Story III: Escape from Fantasia,Cinevox Filmproduktion GmbH
125,44284,The Silences of the Palace,Canal Horizons
125,44284,The Silences of the Palace,Mat Films
126,290157,Jupiter's Wife,
127,110972,Pie in the Sky,
128,32622,Angela,
129,73067,Frankie Starlight,Fine Line Features
129,73067,Frankie Starlight,Channel Four Films
129,73067,Frankie Starlight,Bórd Scannán na hÉireann
130,11863,Jade,
131,55475,Nueba Yol,Cigua Films
132,124636,Sonic Outlaws,
133,9101,Down Periscope,
134,123360,From the Journals of Jean Seberg,
135,5757,Man of the Year,
136,39428,The Neon Bible,Channel Four Films
136,39428,The Neon Bible,Academy
136,39428,The Neon Bible,Mayfair Films
137,124639,Target,
138,9302,Up Close & Personal,Cinergi Pictures Entertainment
139,11000,The Birdcage,
140,249882,Virgin Mary,
141,16388,The Brothers McMullen,
142,9737,Bad Boys,Columbia Pictures
143,30765,The Amazing Panda Adventure,
144,10474,The Basketball Diaries,New Line Cinema
145,22279,An Awfully Big Adventure,Fine Line Features
145,22279,An Awfully Big Adventure,BBC
145,22279,An Awfully Big Adventure,British Screen Productions
146,30157,Amateur,Channel Four Films
146,30157,Amateur,Zenith Entertainment
146,30157,Amateur,American Playhouse
146,30157,Amateur,La Sept Cinéma
147,568,Apollo 13,Imagine Entertainment
148,11780,Rob Roy,United Artists
149,34996,The Addiction,October Films
149,34996,The Addiction,Guild
150,414,Batman Forever,
151,649,Belle de Jour,Paris Films Productions
151,649,Belle de Jour,Five Films
152,1873,Beyond Rangoon,Columbia Pictures
153,5894,Blue in the Face,Miramax Films
154,1775,Canadian Bacon,
155,8839,Casper,Universal Pictures
155,8839,Casper,Amblin Entertainment
156,20649,Clockers,Universal Pictures
157,10329,Congo,Paramount Pictures
158,8963,Crimson Tide,Hollywood Pictures
159,26564,Crumb,
160,8068,Desperado,Columbia Pictures
161,8512,Devil in a Blue Dress,TriStar Pictures
162,1572,Die Hard: With a Vengeance,Twentieth Century Fox Film Corporation
163,13552,The Doom Generation,Why Not Productions
163,13552,The Doom Generation,Desperate Pictures
163,13552,The Doom Generation,Blurco
164,259209,Feast of July,Touchstone Pictures
165,6520,First Knight,Columbia Pictures Corporation
166,9073,Free Willy 2 - The Adventure Home,Regency Enterprises
166,9073,Free Willy 2 - The Adventure Home,Alcor Films
167,10428,Hackers,United Artists
168,17447,Jeffrey,The Booking Office
169,9886,Johnny Mnemonic,TriStar Pictures
170,9482,Judge Dredd,Hollywood Pictures
171,19326,Jury Duty,
172,9344,Kids,
173,9071,Living in Oblivion,JDI productions
174,8973,Lord of Illusions,United Artists
175,15730,Love & Human Remains,The Ontario Film Development Corporation
175,15730,Love & Human Remains,First Choice Films
175,15730,Love & Human Remains,Atlantis Films
175,15730,Love & Human Remains,Telefilm Canada
175,15730,Love & Human Remains,Max Films Productions
175,15730,Love & Human Remains,Super Écran
176,47608,Mad Love,
177,2293,Mallrats,Universal Pictures
177,2293,Mallrats,Gramercy Pictures
177,2293,Mallrats,Alphaville Films
178,9070,Mighty Morphin Power Rangers: The Movie,Twentieth Century Fox Film Corporation
178,9070,Mighty Morphin Power Rangers: The Movie,Saban Entertainment
179,68274,Moonlight and Valentino,PolyGram Filmed Entertainment
180,48787,Mute Witness,Comet Film Produktion GmbH
180,48787,Mute Witness,Avrora Media
181,34574,Nadja,
182,1642,The Net,
183,11472,Nine Months,Twentieth Century Fox Film Corporation
184,36196,Party Girl,
185,11980,The Prophecy,
186,58372,Reckless,Playhouse International Pictures
186,58372,Reckless,American Playhouse
187,32646,Safe,Killer Films
187,32646,Safe,American Playhouse
187,32646,Safe,Kardana Films
188,10533,The Scarlet Letter,Hollywood Pictures
189,56088,The Show,
190,10802,Showgirls,United Artists
191,10149,Smoke,
192,18402,Something to Talk About,Spring Creek Productions
193,9348,Species,
194,139408,The Stars Fell on Henrietta,Malpaso Productions
195,281,Strange Days,
196,5967,The Umbrellas of Cherbourg,Beta Film
196,5967,The Umbrellas of Cherbourg,Madeleine Films
197,79593,The Tie That Binds,Hollywood Pictures
197,79593,The Tie That Binds,PolyGram Filmed Entertainment
198,47939,Three Wishes,
199,36834,Total Eclipse,FIT Productions
200,9090,"To Wong Foo, Thanks for Everything! Julie Newmar",Universal Pictures
201,3512,Under Siege 2: Dark Territory,Regency Enterprises
202,52856,Unstrung Heroes,
203,77350,Unzipped,
204,9560,A Walk in the Clouds,Twentieth Century Fox Film Corporation
205,9804,Waterworld,Universal Pictures
205,9804,Waterworld,Gordon Company
205,9804,Waterworld,Davis Entertainment
206,31611,White Man's Burden,HBO
206,31611,White Man's Burden,A BandApart
207,65796,Wild Bill,
208,49805,The Browning Version,
209,26258,Bushwhacked,
210,50797,Burnt by the Sun,Studio Trite
211,19155,Before the Rain,PolyGram Audiovisuel
212,76,Before Sunrise,Detour Film Production
213,11017,Billy Madison,
214,37141,The Babysitter,
215,9382,Boys on the Side,Regency Enterprises
215,9382,Boys on the Side,Alcor Films
215,9382,Boys on the Side,New Regency Pictures
216,6715,The Cure,Universal Pictures
217,18256,Castle Freak,
218,22625,Circle of Friends,The Rank Organisation
218,22625,Circle of Friends,Bórd Scannán na hÉireann
218,22625,Circle of Friends,Lantana
219,2292,Clerks,Miramax Films
220,1909,Don Juan DeMarco,New Line Cinema
221,8984,Disclosure,
222,61813,Dream Man,Keystone Pictures
223,4954,Drop Zone,
224,62488,Destiny Turns on the Radio,Savoy Pictures
225,10531,Death and the Maiden,Fine Line Features
225,10531,Death and the Maiden,Channel Four Films
225,10531,Death and the Maiden,Capitol Films
225,10531,Death and the Maiden,TF1 Films Production
225,10531,Death and the Maiden,Flach Film
226,11929,Dolores Claiborne,Castle Rock Entertainment
227,8467,Dumb and Dumber,New Line Cinema
228,10451,Eat Drink Man Woman,Ang Lee Productions
228,10451,Eat Drink Man Woman,Good Machine
229,20156,Exotica,Miramax Films
229,20156,Exotica,Alliance Entertainment
230,18395,Exit to Eden,
231,522,Ed Wood,
232,397,French Kiss,Twentieth Century Fox Film Corporation
232,397,French Kiss,PolyGram Filmed Entertainment
232,397,French Kiss,Working Title Films
233,10525,Forget Paris,Columbia Pictures
234,27985,Far from Home: The Adventures of Yellow Dog,
235,15789,A Goofy Movie,
236,27303,Hideaway,
237,21183,Fluke,
238,10954,Farinelli,Italian International Film
238,10954,Farinelli,Stéphan Films
239,47867,Gordy,
240,43475,Gumby: The Movie,
241,72031,The Glass Shield,
242,14275,Hoop Dreams,Fine Line Features
243,1024,Heavenly Creatures,WingNut Films
243,1024,Heavenly Creatures,Miramax Films
243,1024,Heavenly Creatures,New Zealand Film Commission
244,17207,Houseguest,Caravan Pictures
245,13701,Immortal Beloved,Columbia Pictures
245,13701,Immortal Beloved,Majestic Films International
246,14819,Heavyweights,Walt Disney Pictures
247,32631,The Hunted,Universal Pictures
248,11777,I.Q.,
249,628,Interview with the Vampire,
250,87729,Jefferson in Paris,Merchant Ivory Productions
251,18713,The Jerky Boys,Caravan Pictures
252,6280,Junior,Universal Pictures
253,9061,Just Cause,Fountainbrge Films
254,37108,A Kid in King Arthur's Court,Walt Disney Pictures
255,6071,Kiss of Death,
256,11,Star Wars,Lucasfilm
257,9587,Little Women,
258,19101,A Little Princess,
259,49980,Ladybird Ladybird,Channel Four Films
260,17961,L'Enfer,
261,18183,Like Water for Chocolate,Aviacsa
262,4476,Legends of the Fall,Bedford Falls Productions
262,4476,Legends of the Fall,TriStar Pictures
263,11008,Major Payne,
264,47504,Little Odessa,Fine Line Features
264,47504,Little Odessa,New Line Cinema
265,32325,Mi Vida Loca,Channel Four Films
265,32325,Mi Vida Loca,Cineville
266,43742,Love Affair,
267,28313,Losing Isaiah,
268,11318,The Madness of King George,Channel Four Films
268,11318,The Madness of King George,Samuel Goldwyn Company
269,3036,Mary Shelley's Frankenstein,American Zoetrope
270,40490,Man of the House,
271,24070,Mixed Nuts,
272,8986,Milk Money,Paramount Pictures
273,10510,Miracle on 34th Street,
274,17402,Miami Rhapsody,
275,38722,My Family,American Zoetrope
275,38722,My Family,American Playhouse
275,38722,My Family,Majestic Films International
276,8438,Murder in the First,Wolper Organization
277,11593,Nobody's Fool,Paramount Pictures
277,11593,Nobody's Fool,Capella International
278,1945,Nell,Twentieth Century Fox Film Corporation
278,1945,Nell,Egg Pictures
279,39310,New Jersey Drive,
280,109560,New York Cop,TOEI
281,56428,Beyond Bedlam,
282,63105,Nemesis 2 - Nebula,Filmwerks
283,131957,Nina Takes a Lover,
284,241,Natural Born Killers,Regency Enterprises
284,241,Natural Born Killers,Alcor Films
284,241,Natural Born Killers,Ixtlan
284,241,Natural Born Killers,New Regency Pictures
285,9058,Only You,
286,527,Once Were Warriors,Avalon Studios
286,527,Once Were Warriors,New Zealand Film Commission
287,18220,Poison Ivy II: Lily,New Line Cinema
287,18220,Poison Ivy II: Lily,CineTel Pictures
288,6950,Outbreak,Kopelson Entertainment
288,6950,Outbreak,Punch Productions
289,101,Leon: The Professional,Columbia Pictures
290,63020,The Perez Family,
291,2307,A Pyromaniac's Love Story,
292,680,Pulp Fiction,Miramax Films
292,680,Pulp Fiction,A Band Apart
293,41478,Panther,Polygram Filmed Entertainment
294,25296,Pushing Hands,
295,40156,Priest,BBC Films
295,40156,Priest,PolyGram Filmed Entertainment
296,11450,Quiz Show,Wildwood Enterprises
296,11450,Quiz Show,Hollywood Pictures
297,30304,Picture Bride,Cecile Company
298,10452,Queen Margot,Renn Productions
298,10452,Queen Margot,Eurimages
298,10452,Queen Margot,France2 Cinéma
298,10452,Queen Margot,WMG Film
298,10452,Queen Margot,Miramax
299,12106,The Quick and the Dead,
300,161495,Roommates,Hollywood Pictures
300,161495,Roommates,Interscope Communications
301,3586,Prêt-à-Porter,
302,110,Three Colors: Red,Zespół Filmowy TOR
302,110,Three Colors: Red,France 3 Cinéma
303,108,Three Colors: Blue,France 3 Cinéma
304,109,Three Colors: White,France 3 Cinéma
305,159185,"Red Firecracker, Green Firecracker",
306,36357,Rent-a-Kid,
307,92769,Relative Fear,Allegro Films
307,92769,Relative Fear,Norstar Entertainment
308,28033,Stuart Saves His Family,
309,22586,The Swan Princess,
310,14334,The Secret of Roan Inish,Jones Entertainment Group
311,2636,The Specialist,Jerry Weintraub Productions
312,2164,Stargate,Centropolis Entertainment
312,2164,Stargate,StudioCanal
313,11395,The Santa Clause,Walt Disney Pictures
314,278,The Shawshank Redemption,Castle Rock Entertainment
315,9905,Shallow Grave,Channel Four Films
315,9905,Shallow Grave,Figment Films
315,9905,Shallow Grave,The Glasgow Film Fund
316,87078,Suture,
317,12527,Strawberry and Chocolate,Miramax Films
317,12527,Strawberry and Chocolate,Tabasco films
318,20306,Swimming with Sharks,Cineville
319,36614,The Sum of Us,
320,27993,Senior Trip,New Line Cinema
320,27993,Senior Trip,1992 Number Four Limited Partnership
321,31439,To Live,Shanghai Film Studios
322,9067,Tank Girl,
323,9059,Tales from the Crypt: Demon Knight,Universal Pictures
324,193,Star Trek: Generations,
325,25066,Tales from the Hood,
326,46797,Tom & Viv,
327,12122,Village of the Damned,
328,11381,Tommy Boy,
329,32636,Vanya on 42nd Street,
330,36141,The Underneath,
331,95963,The Walking Dead,Savoy Pictures
331,95963,The Walking Dead,Price Entertainment
332,1587,What's Eating Gilbert Grape,
333,9271,Virtuosity,
334,2064,While You Were Sleeping,Caravan Pictures
335,19855,The War,
336,60855,Double Happiness,Fine Line Features
336,60855,Double Happiness,Téléfilm Canada
336,60855,Double Happiness,First Generation Films
337,236,Muriel's Wedding,Ciby 2000
337,236,Muriel's Wedding,Film Victoria
338,48287,The Baby-Sitters Club,Columbia Pictures Corporation
339,3049,Ace Ventura: Pet Detective,
340,2759,"The Adventures of Priscilla, Queen of the Desert",
341,12635,Backbeat,
342,10497,Bitter Moon,Fine Line Features
342,10497,Bitter Moon,Columbia Pictures Corporation
342,10497,Bitter Moon,Les Films Alain Sarde
343,11382,Bullets Over Broadway,
344,9331,Clear and Present Danger,Paramount Pictures
345,10731,The Client,Regency Enterprises
345,10731,The Client,Alcor Films
346,10464,"Corrina, Corrina",
347,34152,Crooklyn,Universal Pictures
348,9495,The Crow,Miramax Films
348,9495,The Crow,Entertainment Media Investment Corporation
348,9495,The Crow,Jeff Most Productions
349,29973,Cobb,Regency Enterprises
349,29973,Cobb,Alcor Films
350,888,The Flintstones,Universal Pictures
350,888,The Flintstones,Amblin Entertainment
351,13,Forrest Gump,
352,712,Four Weddings and a Funeral,Channel Four Films
352,712,Four Weddings and a Funeral,PolyGram Filmed Entertainment
353,16295,Higher Learning,Columbia Pictures Corporation
354,48992,I Like It Like That,Columbia Pictures Corporation
354,48992,I Like It Like That,Think Again Productions
355,10879,I Love Trouble,Caravan Pictures
356,10660,It Could Happen to You,
357,10714,The Jungle Book,
358,41647,"The Wonderful, Horrible Life of Leni Riefenstahl",Channel Four Films
358,41647,"The Wonderful, Horrible Life of Leni Riefenstahl",Arte
358,41647,"The Wonderful, Horrible Life of Leni Riefenstahl",Nomad Films
358,41647,"The Wonderful, Horrible Life of Leni Riefenstahl",Omega Film GmbH
359,8587,The Lion King,Walt Disney Pictures
360,1689,Little Buddha,
361,11596,New Nightmare,
362,854,The Mask,New Line Cinema
363,9359,Maverick,Icon Entertainment International
364,23333,Mrs. Parker and the Vicious Circle,Fine Line Features
365,36593,The Naked Gun 33⅓: The Final Insult,
366,12280,The Paper,Imagine Entertainment
367,2788,Reality Bites,Universal Pictures
368,10427,Red Rock West,Propaganda Films
369,11011,Ri¢hie Ri¢h,Davis Entertainment
369,11011,Ri¢hie Ri¢h,Silver Pictures
370,49803,Safe Passage,
371,8987,The River Wild,Universal Pictures
371,8987,The River Wild,Dav Foster Productions
372,1637,Speed,
373,15128,Speechless,
374,8831,Timecop,Universal Pictures
374,8831,Timecop,Renaissance Pictures
374,8831,Timecop,Dark Horse Entertainment
374,8831,Timecop,Largo Entertainment
374,8831,Timecop,Signature Pictures
375,36955,True Lies,Twentieth Century Fox Film Corporation
376,10449,When a Man Loves a Woman,
377,10395,Wolf,
378,12160,Wyatt Earp,Tig Productions
378,12160,Wyatt Earp,Kasdan Pictures
379,40480,Bad Company,Touchstone Pictures
380,52038,A Man of No Importance,BBC Films
380,52038,A Man of No Importance,Majestic Films International
381,29444,S.F.W.,Gramercy Pictures
382,26352,A Low Down Dirty Shame,Caravan Pictures
383,39953,"Boys Life: Three Stories of Love, Lust, and Liberation",Strand Releasing
384,41580,Colonel Chabert,
385,315,"Faster, Pussycat! Kill! Kill!",
386,22067,Jason's Lyric,
387,18242,The Secret Adventures of Tom Thumb,Bolex Brothers
387,18242,The Secret Adventures of Tom Thumb,Lumen Films
388,11667,Street Fighter,Universal Pictures
389,32502,Coldblooded,Propaganda Films
389,32502,Coldblooded,Polygram Filmed Entertainment
390,267188,Desert Winds,
391,28732,Fall Time,Live Entertainment
391,28732,Fall Time,Capitol Films
392,75555,The Fear,
393,42981,Frank and Ollie,Walt Disney Pictures
394,278939,Girl in the Cadillac,
395,291731,Homage,Skyline Entertainment Partners
396,226229,Mirage,
397,203119,Open Season,
398,172923,Dos Crímenes,
399,316098,Brother Minister: The Assassination of Malcolm X,
400,8011,Highlander: The Final Dimension,Initial Groupe
400,8011,Highlander: The Final Dimension,Lumière Pictures
401,171857,Federal Hill,
402,2654,In the Mouth of Madness,
403,18069,8 Seconds,
404,19092,Above the Rim,
405,2758,Addams Family Values,Paramount Pictures
405,2758,Addams Family Values,Orion Pictures
406,38129,Martin Lawrence: You So Crazy,
407,10436,The Age of Innocence,
408,13595,Airheads,Twentieth Century Fox Film Corporation
408,13595,Airheads,Island World
409,46094,The Air Up There,Hollywood Pictures
409,46094,The Air Up There,PolyGram Filmed Entertainment
409,46094,The Air Up There,Interscope Communications
409,46094,The Air Up There,NBB Unit One Film Partners
410,9409,Another Stakeout,
411,11853,Bad Girls,Twentieth Century Fox Film Corporation
412,16771,Barcelona,Fine Line Features
412,16771,Barcelona,Castle Rock Entertainment
413,46924,Being Human,Enigma Productions
413,46924,Being Human,BSB
413,46924,Being Human,NatWest Ventures
414,11041,The Beverly Hillbillies,
415,306,Beverly Hills Cop III,Paramount Pictures
416,14522,Black Beauty,
417,26203,Blink,
418,178,Blown Away,Trilogy Entertainment Group
419,19819,Blue Chips,
420,57834,Blue Sky,Orion Pictures Corporation
421,4722,Body Snatchers,Dorset Productions
422,18215,Boxing Helena,
423,1607,A Bronx Tale,HBO Films
424,26391,Cabin Boy,
425,117553,Calendar Girl,Columbia Pictures
426,6075,Carlito's Way,Universal Pictures
426,6075,Carlito's Way,Epic Productions
427,11310,City Slickers II: The Legend of Curly's Gold,Columbia Pictures
428,18658,Clean Slate,
429,9350,Cliffhanger,TriStar Pictures
429,9350,Cliffhanger,Carolco Pictures
429,9350,Cliffhanger,RCS Veo
429,9350,Cliffhanger,Cliffhanger Productions
430,9612,Coneheads,
431,2124,Color of Night,Hollywood Pictures
432,26261,Cops & Robbersons,
433,19176,The Cowboy Way,Imagine Entertainment
434,49299,Dangerous Game,Maverick Picture Company
434,49299,Dangerous Game,Eye Productions
435,11566,Dave,
436,9571,Dazed and Confused,Gramercy Pictures
436,9571,Dazed and Confused,Alphaville Productions
437,9739,Demolition Man,Silver Pictures
438,24257,The Endless Summer 2,
439,34444,Even Cowgirls Get the Blues,
440,26141,Fatal Instinct,
441,10997,Farewell My Concubine,Beijing Film Studio
442,50463,The Favor,Orion Pictures
443,10443,Fearless,Spring Creek Productions
444,20239,Fear of a Black Hat,
445,16297,With Honors,Spring Creek Productions
446,18551,Flesh and Bone,Paramount Pictures
446,18551,Flesh and Bone,Spring Creek Productions
447,25440,Widows' Peak,
448,9024,For Love or Money,Universal Studios
449,37233,The Firm,Paramount Pictures
449,37233,The Firm,Mirage Enterprises
450,1634,Free Willy,Canal Plus
450,1634,Free Willy,Regency Enterprises
450,1634,Free Willy,Alcor Films
451,13815,Fresh,
452,5503,The Fugitive,
453,35588,Geronimo: An American Legend,
454,2087,The Getaway,Universal Pictures
455,41579,Getting Even with Dad,
456,18620,Go Fish,Killer Films
456,18620,Go Fish,The Samuel Goldwyn Company
456,18620,Go Fish,Can I Watch
456,18620,Go Fish,Islet
457,41006,A Good Man in Africa,
458,4916,Guilty as Sin,
459,2019,Hard Target,Universal Pictures
459,2019,Hard Target,Renaissance Pictures
460,31642,Heaven & Earth,Regency Enterprises
461,9255,Hot Shots! Part Deux,Twentieth Century Fox Film Corporation
462,26271,Live Nude Girls,Spelling Entertainment
462,26271,Live Nude Girls,IRS Media
463,10612,The Englishman Who Went Up a Hill But Came Down a Mountain,Miramax Films
464,2259,The House of the Spirits,Det Danske Filminstitut
464,2259,The House of the Spirits,Spring Creek Productions
464,2259,The House of the Spirits,Eurimages
464,2259,The House of the Spirits,Costa do Castelo Filmes
464,2259,The House of the Spirits,Neue Constantin Film
465,16097,House Party 3,
466,11934,The Hudsucker Proxy,PolyGram Filmed Entertainment
466,11934,The Hudsucker Proxy,Silver Pictures
466,11934,The Hudsucker Proxy,Working Title Films
467,106143,I'll Do Anything,Gracie Films
468,12475,In the Army Now,
469,9386,In the Line of Fire,Castle Rock Entertainment
470,7984,In the Name of the Father,Universal Pictures
471,59930,The Inkwell,
472,15765,What's Love Got to Do with It,
473,31643,Jimmy Hollywood,Paramount Pictures
474,6,Judgment Night,Universal Pictures
474,6,Judgment Night,Largo Entertainment
475,329,Jurassic Park,Universal Pictures
476,10909,Kalifornia,Propaganda Films
477,507,Killing Zoe,
478,34024,King of the Hill,
479,29918,Lassie,
480,9593,Last Action Hero,Columbia Pictures Corporation
481,42580,Life With Mikey,
482,22317,Lightning Jack,
483,1413,M. Butterfly,Geffen Pictures
484,12121,Made in America,Regency Enterprises
485,2246,Malice,Columbia Pictures
