,Id,Title,Genres
156,20649,Clockers,Drama
157,10329,Congo,Action
157,10329,Congo,Adventure
157,10329,Congo,Drama
157,10329,Congo,Mystery
157,10329,Congo,Thriller
158,8963,Crimson Tide,Action
158,8963,Crimson Tide,Thriller
158,8963,Crimson Tide,Drama
159,26564,Crumb,Documentary
160,8068,Desperado,Thriller
160,8068,Desperado,Action
160,8068,Desperado,Crime
161,8512,Devil in a Blue Dress,Drama
161,8512,Devil in a Blue Dress,Mystery
161,8512,Devil in a Blue Dress,Thriller
162,1572,Die Hard: With a Vengeance,Action
162,1572,Die Hard: With a Vengeance,Thriller
163,13552,The Doom Generation,Action
163,13552,The Doom Generation,Comedy
163,13552,The Doom Generation,Crime
163,13552,The Doom Generation,Drama
164,259209,Feast of July,Drama
164,259209,Feast of July,Crime
165,6520,First Knight,Action
165,6520,First Knight,Adventure
165,6520,First Knight,Drama
165,6520,First Knight,Romance
166,9073,Free Willy 2 - The Adventure Home,Adventure
167,10428,Hackers,Action
167,10428,Hackers,Crime
167,10428,Hackers,Thriller
167,10428,Hackers,Drama
168,17447,Jeffrey,Comedy
168,17447,Jeffrey,Drama
168,17447,Jeffrey,Romance
169,9886,Johnny Mnemonic,Adventure
169,9886,Johnny Mnemonic,Action
169,9886,Johnny Mnemonic,Drama
169,9886,Johnny Mnemonic,Thriller
170,9482,Judge Dredd,
171,19326,Jury Duty,Comedy
171,19326,Jury Duty,Drama
172,9344,Kids,Drama
172,9344,Kids,Crime
173,9071,Living in Oblivion,Drama
173,9071,Living in Oblivion,Comedy
174,8973,Lord of Illusions,Mystery
174,8973,Lord of Illusions,Horror
174,8973,Lord of Illusions,Thriller
175,15730,Love & Human Remains,Comedy
175,15730,Love & Human Remains,Drama
176,47608,Mad Love,Drama
176,47608,Mad Love,Family
176,47608,Mad Love,Romance
177,2293,Mallrats,Romance
177,2293,Mallrats,Comedy
178,9070,Mighty Morphin Power Rangers: The Movie,Action
178,9070,Mighty Morphin Power Rangers: The Movie,Adventure
178,9070,Mighty Morphin Power Rangers: The Movie,Family
178,9070,Mighty Morphin Power Rangers: The Movie,Fantasy
179,68274,Moonlight and Valentino,Comedy
179,68274,Moonlight and Valentino,Drama
179,68274,Moonlight and Valentino,Romance
180,48787,Mute Witness,Thriller
180,48787,Mute Witness,Foreign
181,34574,Nadja,Horror
181,34574,Nadja,Thriller
182,1642,The Net,Crime
182,1642,The Net,Drama
182,1642,The Net,Mystery
182,1642,The Net,Thriller
182,1642,The Net,Action
183,11472,Nine Months,Comedy
184,36196,Party Girl,Comedy
185,11980,The Prophecy,Fantasy
185,11980,The Prophecy,Horror
185,11980,The Prophecy,Thriller
186,58372,Reckless,Fantasy
186,58372,Reckless,Comedy
186,58372,Reckless,Drama
187,32646,Safe,Drama
188,10533,The Scarlet Letter,Drama
188,10533,The Scarlet Letter,History
188,10533,The Scarlet Letter,Romance
189,56088,The Show,Documentary
190,10802,Showgirls,Drama
191,10149,Smoke,Comedy
191,10149,Smoke,Drama
192,18402,Something to Talk About,Comedy
193,9348,Species,Horror
193,9348,Species,Action
194,139408,The Stars Fell on Henrietta,Drama
195,281,Strange Days,Crime
195,281,Strange Days,Drama
195,281,Strange Days,Thriller
196,5967,The Umbrellas of Cherbourg,Drama
196,5967,The Umbrellas of Cherbourg,Romance
197,79593,The Tie That Binds,Thriller
198,47939,Three Wishes,Drama
198,47939,Three Wishes,Fantasy
199,36834,Total Eclipse,Drama
199,36834,Total Eclipse,Romance
200,9090,"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy
201,3512,Under Siege 2: Dark Territory,Action
201,3512,Under Siege 2: Dark Territory,Thriller
202,52856,Unstrung Heroes,Comedy
202,52856,Unstrung Heroes,Drama
202,52856,Unstrung Heroes,Family
203,77350,Unzipped,Documentary
204,9560,A Walk in the Clouds,Drama
204,9560,A Walk in the Clouds,Romance
205,9804,Waterworld,Adventure
205,9804,Waterworld,Action
206,31611,White Man's Burden,Drama
207,65796,Wild Bill,Action
207,65796,Wild Bill,Western
208,49805,The Browning Version,Drama
209,26258,Bushwhacked,Adventure
209,26258,Bushwhacked,Action
209,26258,Bushwhacked,Comedy
209,26258,Bushwhacked,Crime
209,26258,Bushwhacked,Family
210,50797,Burnt by the Sun,Drama
211,19155,Before the Rain,Drama
211,19155,Before the Rain,War
212,76,Before Sunrise,Drama
212,76,Before Sunrise,Romance
213,11017,Billy Madison,Comedy
214,37141,The Babysitter,Drama
214,37141,The Babysitter,Thriller
215,9382,Boys on the Side,Comedy
215,9382,Boys on the Side,Drama
216,6715,The Cure,Drama
216,6715,The Cure,Family
217,18256,Castle Freak,Thriller
217,18256,Castle Freak,Drama
217,18256,Castle Freak,Horror
217,18256,Castle Freak,Mystery
218,22625,Circle of Friends,Drama
218,22625,Circle of Friends,Family
218,22625,Circle of Friends,Romance
219,2292,Clerks,Comedy
220,1909,Don Juan DeMarco,Romance
220,1909,Don Juan DeMarco,Drama
220,1909,Don Juan DeMarco,Comedy
221,8984,Disclosure,Drama
221,8984,Disclosure,Thriller
221,8984,Disclosure,Crime
221,8984,Disclosure,Mystery
221,8984,Disclosure,Romance
222,61813,Dream Man,Thriller
223,4954,Drop Zone,Action
223,4954,Drop Zone,Adventure
223,4954,Drop Zone,Thriller
224,62488,Destiny Turns on the Radio,Crime
224,62488,Destiny Turns on the Radio,Comedy
224,62488,Destiny Turns on the Radio,Fantasy
225,10531,Death and the Maiden,Drama
225,10531,Death and the Maiden,Thriller
225,10531,Death and the Maiden,Mystery
226,11929,Dolores Claiborne,Crime
226,11929,Dolores Claiborne,Drama
226,11929,Dolores Claiborne,Mystery
227,8467,Dumb and Dumber,Comedy
228,10451,Eat Drink Man Woman,Comedy
228,10451,Eat Drink Man Woman,Drama
228,10451,Eat Drink Man Woman,Romance
229,20156,Exotica,Drama
229,20156,Exotica,Mystery
230,18395,Exit to Eden,Thriller
230,18395,Exit to Eden,Comedy
230,18395,Exit to Eden,Crime
230,18395,Exit to Eden,Romance
231,522,Ed Wood,Comedy
231,522,Ed Wood,Drama
231,522,Ed Wood,History
232,397,French Kiss,Comedy
232,397,French Kiss,Romance
233,10525,Forget Paris,Comedy
233,10525,Forget Paris,Drama
233,10525,Forget Paris,Romance
234,27985,Far from Home: The Adventures of Yellow Dog,Action
234,27985,Far from Home: The Adventures of Yellow Dog,Adventure
234,27985,Far from Home: The Adventures of Yellow Dog,Drama
234,27985,Far from Home: The Adventures of Yellow Dog,Family
235,15789,A Goofy Movie,Romance
235,15789,A Goofy Movie,Animation
235,15789,A Goofy Movie,Family
235,15789,A Goofy Movie,Comedy
235,15789,A Goofy Movie,Adventure
236,27303,Hideaway,Drama
236,27303,Hideaway,Thriller
237,21183,Fluke,Drama
237,21183,Fluke,Family
237,21183,Fluke,Fantasy
238,10954,Farinelli,History
238,10954,Farinelli,Drama
239,47867,Gordy,Drama
239,47867,Gordy,Family
239,47867,Gordy,Fantasy
240,43475,Gumby: The Movie,Fantasy
240,43475,Gumby: The Movie,Animation
240,43475,Gumby: The Movie,Family
241,72031,The Glass Shield,Drama
241,72031,The Glass Shield,Action
241,72031,The Glass Shield,Thriller
241,72031,The Glass Shield,Crime
242,14275,Hoop Dreams,Documentary
243,1024,Heavenly Creatures,Drama
243,1024,Heavenly Creatures,Fantasy
244,17207,Houseguest,Comedy
244,17207,Houseguest,Family
245,13701,Immortal Beloved,Drama
245,13701,Immortal Beloved,Music
245,13701,Immortal Beloved,Romance
246,14819,Heavyweights,Comedy
246,14819,Heavyweights,Family
246,14819,Heavyweights,Drama
247,32631,The Hunted,Action
247,32631,The Hunted,Thriller
248,11777,I.Q.,Comedy
248,11777,I.Q.,Drama
248,11777,I.Q.,Romance
249,628,Interview with the Vampire,Horror
249,628,Interview with the Vampire,Romance
250,87729,Jefferson in Paris,Drama
250,87729,Jefferson in Paris,Romance
251,18713,The Jerky Boys,Comedy
251,18713,The Jerky Boys,Crime
252,6280,Junior,Comedy
252,6280,Junior,Family
252,6280,Junior,Romance
253,9061,Just Cause,Action
253,9061,Just Cause,Drama
253,9061,Just Cause,Mystery
253,9061,Just Cause,Thriller
254,37108,A Kid in King Arthur's Court,Adventure
254,37108,A Kid in King Arthur's Court,Fantasy
254,37108,A Kid in King Arthur's Court,Comedy
254,37108,A Kid in King Arthur's Court,Family
255,6071,Kiss of Death,Action
255,6071,Kiss of Death,Crime
255,6071,Kiss of Death,Drama
255,6071,Kiss of Death,Thriller
256,11,Star Wars,Adventure
256,11,Star Wars,Action
257,9587,Little Women,Drama
257,9587,Little Women,Romance
258,19101,A Little Princess,Drama
258,19101,A Little Princess,Family
258,19101,A Little Princess,Fantasy
259,49980,Ladybird Ladybird,Drama
260,17961,L'Enfer,Crime
260,17961,L'Enfer,Drama
261,18183,Like Water for Chocolate,Drama
261,18183,Like Water for Chocolate,Romance
262,4476,Legends of the Fall,Adventure
262,4476,Legends of the Fall,Drama
262,4476,Legends of the Fall,Romance
262,4476,Legends of the Fall,War
263,11008,Major Payne,Adventure
263,11008,Major Payne,Comedy
263,11008,Major Payne,Family
264,47504,Little Odessa,Action
264,47504,Little Odessa,Drama
265,32325,Mi Vida Loca,Crime
265,32325,Mi Vida Loca,Drama
266,43742,Love Affair,Drama
266,43742,Love Affair,Romance
267,28313,Losing Isaiah,Drama
268,11318,The Madness of King George,Comedy
268,11318,The Madness of King George,Drama
268,11318,The Madness of King George,History
269,3036,Mary Shelley's Frankenstein,Drama
269,3036,Mary Shelley's Frankenstein,Horror
269,3036,Mary Shelley's Frankenstein,Romance
270,40490,Man of the House,Action
270,40490,Man of the House,Comedy
270,40490,Man of the House,Family
271,24070,Mixed Nuts,Comedy
271,24070,Mixed Nuts,Drama
271,24070,Mixed Nuts,Romance
272,8986,Milk Money,Comedy
272,8986,Milk Money,Romance
273,10510,Miracle on 34th Street,Fantasy
273,10510,Miracle on 34th Street,Drama
273,10510,Miracle on 34th Street,Family
274,17402,Miami Rhapsody,Comedy
274,17402,Miami Rhapsody,Romance
275,38722,My Family,Comedy
275,38722,My Family,Drama
276,8438,Murder in the First,Crime
276,8438,Murder in the First,Drama
277,11593,Nobody's Fool,Drama
277,11593,Nobody's Fool,Comedy
278,1945,Nell,Drama
278,1945,Nell,Thriller
279,39310,New Jersey Drive,Crime
279,39310,New Jersey Drive,Drama
280,109560,New York Cop,Action
280,109560,New York Cop,Thriller
280,109560,New York Cop,Crime
280,109560,New York Cop,Drama
281,56428,Beyond Bedlam,Horror
282,63105,Nemesis 2 - Nebula,Action
282,63105,Nemesis 2 - Nebula,Thriller
283,131957,Nina Takes a Lover,Drama
283,131957,Nina Takes a Lover,Romance
284,241,Natural Born Killers,Crime
284,241,Natural Born Killers,Thriller
284,241,Natural Born Killers,Drama
285,9058,Only You,Comedy
285,9058,Only You,Drama
285,9058,Only You,Romance
286,527,Once Were Warriors,Drama
287,18220,Poison Ivy II: Lily,Drama
287,18220,Poison Ivy II: Lily,Romance
287,18220,Poison Ivy II: Lily,Thriller
288,6950,Outbreak,Action
288,6950,Outbreak,Drama
288,6950,Outbreak,Thriller
289,101,Leon: The Professional,Thriller
289,101,Leon: The Professional,Crime
289,101,Leon: The Professional,Drama
290,63020,The Perez Family,Comedy
290,63020,The Perez Family,Drama
290,63020,The Perez Family,Romance
291,2307,A Pyromaniac's Love Story,Comedy
291,2307,A Pyromaniac's Love Story,Drama
291,2307,A Pyromaniac's Love Story,Romance
292,680,Pulp Fiction,Thriller
292,680,Pulp Fiction,Crime
293,41478,Panther,Drama
294,25296,Pushing Hands,Comedy
294,25296,Pushing Hands,Drama
295,40156,Priest,Drama
295,40156,Priest,Romance
296,11450,Quiz Show,History
296,11450,Quiz Show,Drama
297,30304,Picture Bride,Drama
297,30304,Picture Bride,History
298,10452,Queen Margot,Drama
298,10452,Queen Margot,History
299,12106,The Quick and the Dead,Action
299,12106,The Quick and the Dead,Western
300,161495,Roommates,Drama
300,161495,Roommates,Comedy
301,3586,Prêt-à-Porter,Drama
301,3586,Prêt-à-Porter,Comedy
302,110,Three Colors: Red,Drama
302,110,Three Colors: Red,Mystery
302,110,Three Colors: Red,Romance
303,108,Three Colors: Blue,Drama
303,108,Three Colors: Blue,Music
303,108,Three Colors: Blue,Mystery
304,109,Three Colors: White,Comedy
304,109,Three Colors: White,Drama
304,109,Three Colors: White,Mystery
305,159185,"Red Firecracker, Green Firecracker",Drama
306,36357,Rent-a-Kid,Comedy
306,36357,Rent-a-Kid,Family
307,92769,Relative Fear,Horror
307,92769,Relative Fear,Drama
308,28033,Stuart Saves His Family,Comedy
308,28033,Stuart Saves His Family,Drama
309,22586,The Swan Princess,Animation
310,14334,The Secret of Roan Inish,Drama
310,14334,The Secret of Roan Inish,Family
310,14334,The Secret of Roan Inish,Fantasy
311,2636,The Specialist,Action
311,2636,The Specialist,Thriller
312,2164,Stargate,Action
312,2164,Stargate,Adventure
313,11395,The Santa Clause,Fantasy
313,11395,The Santa Clause,Drama
313,11395,The Santa Clause,Comedy
313,11395,The Santa Clause,Family
314,278,The Shawshank Redemption,Drama
314,278,The Shawshank Redemption,Crime
315,9905,Shallow Grave,Crime
315,9905,Shallow Grave,Thriller
316,87078,Suture,Drama
316,87078,Suture,Thriller
317,12527,Strawberry and Chocolate,Comedy
317,12527,Strawberry and Chocolate,Drama
318,20306,Swimming with Sharks,Crime
318,20306,Swimming with Sharks,Comedy
319,36614,The Sum of Us,Comedy
319,36614,The Sum of Us,Drama
319,36614,The Sum of Us,Romance
320,27993,Senior Trip,Comedy
321,31439,To Live,Drama
321,31439,To Live,Romance
321,31439,To Live,War
322,9067,Tank Girl,Action
322,9067,Tank Girl,Comedy
322,9067,Tank Girl,Fantasy
323,9059,Tales from the Crypt: Demon Knight,Horror
323,9059,Tales from the Crypt: Demon Knight,Comedy
323,9059,Tales from the Crypt: Demon Knight,Thriller
324,193,Star Trek: Generations,Action
324,193,Star Trek: Generations,Adventure
324,193,Star Trek: Generations,Thriller
325,25066,Tales from the Hood,Crime
325,25066,Tales from the Hood,Horror
325,25066,Tales from the Hood,Thriller
326,46797,Tom & Viv,Drama
326,46797,Tom & Viv,Romance
327,12122,Village of the Damned,Thriller
327,12122,Village of the Damned,Horror
328,11381,Tommy Boy,Comedy
329,32636,Vanya on 42nd Street,Drama
329,32636,Vanya on 42nd Street,Romance
330,36141,The Underneath,Thriller
330,36141,The Underneath,Crime
331,95963,The Walking Dead,Drama
331,95963,The Walking Dead,War
332,1587,What's Eating Gilbert Grape,Romance
332,1587,What's Eating Gilbert Grape,Drama
333,9271,Virtuosity,Action
333,9271,Virtuosity,Crime
333,9271,Virtuosity,Thriller
334,2064,While You Were Sleeping,Comedy
334,2064,While You Were Sleeping,Drama
334,2064,While You Were Sleeping,Romance
335,19855,The War,Drama
336,60855,Double Happiness,Comedy
336,60855,Double Happiness,Romance
337,236,Muriel's Wedding,Drama
337,236,Muriel's Wedding,Comedy
337,236,Muriel's Wedding,Romance
338,48287,The Baby-Sitters Club,Comedy
338,48287,The Baby-Sitters Club,Drama
338,48287,The Baby-Sitters Club,Family
339,3049,Ace Ventura: Pet Detective,Comedy
339,3049,Ace Ventura: Pet Detective,Mystery
340,2759,"The Adventures of Priscilla, Queen of the Desert",Drama
340,2759,"The Adventures of Priscilla, Queen of the Desert",Comedy
341,12635,Backbeat,Drama
341,12635,Backbeat,Music
342,10497,Bitter Moon,Thriller
342,10497,Bitter Moon,Drama
